name,jurisdiction_type,lat,lon,source
Scotts Valley,city,37.055499,-122.011769,census_gazetteer_2024
Seal Beach,city,33.754399,-118.07132,census_gazetteer_2024
Seaside,city,36.625058,-121.817804,census_gazetteer_2024
Sebastopol,city,38.400003,-122.827586,census_gazetteer_2024
Selma,city,36.571768,-119.613952,census_gazetteer_2024
Shafter,city,35.479421,-119.201285,census_gazetteer_2024
Shasta Lake,city,40.676564,-122.380909,census_gazetteer_2024
Sierra Madre,city,34.168771,-118.050216,census_gazetteer_2024
Signal Hill,city,33.803461,-118.169735,census_gazetteer_2024
Simi Valley,city,34.266887,-118.748458,census_gazetteer_2024
Solana Beach,city,32.9913,-117.258062,census_gazetteer_2024
Soledad,city,36.434522,-121.317759,census_gazetteer_2024
Solvang,city,34.593758,-120.13968,census_gazetteer_2024
Sonoma,city,38.290331,-122.459831,census_gazetteer_2024
Sonora,city,37.981707,-120.382755,census_gazetteer_2024
South El Monte,city,34.050377,-118.048384,census_gazetteer_2024
South Gate,city,33.944159,-118.192761,census_gazetteer_2024
South Lake Tahoe,city,38.928218,-119.981,census_gazetteer_2024
South Pasadena,city,34.108957,-118.156615,census_gazetteer_2024
South San Francisco,city,37.655104,-122.376234,census_gazetteer_2024
St. Helena,city,38.512806,-122.468076,census_gazetteer_2024
Stanton,city,33.800233,-117.993449,census_gazetteer_2024
Stockton,city,37.976553,-121.308598,census_gazetteer_2024
Suisun City,city,38.248334,-122.010066,census_gazetteer_2024
Sunnyvale,city,37.385797,-122.026316,census_gazetteer_2024
Susanville,city,40.433674,-120.628306,census_gazetteer_2024
Sutter Creek,city,38.392445,-120.798969,census_gazetteer_2024
Taft,city,35.126696,-119.424194,census_gazetteer_2024
Tehachapi,city,35.142959,-118.446036,census_gazetteer_2024
Tehama,city,40.021776,-122.126901,census_gazetteer_2024
Temecula,city,33.493073,-117.131734,census_gazetteer_2024
Temple City,city,34.102156,-118.057971,census_gazetteer_2024
Thousand Oaks,city,34.19329,-118.874235,census_gazetteer_2024
Tiburon,city,37.886768,-122.462619,census_gazetteer_2024
Torrance,city,33.830453,-118.356618,census_gazetteer_2024
Tracy,city,37.727396,-121.452195,census_gazetteer_2024
Trinidad,city,41.057708,-124.143255,census_gazetteer_2024
Truckee,city,39.350548,-120.193943,census_gazetteer_2024
